movie,genre,year,link,summary,celebrity1,celebrity2,celebrity3,celebrity4,celebrity5,celebrity6,,
功夫熊猫 Kung Fu Panda,喜剧动作动画冒险,2008,"https://movie.douban.com/subject/1783457
",首度以人见人爱的大熊猫和中国功夫作为故事主线，《功夫熊猫》定于6月全球上映，届时配合举世瞩目的2008年北京奥运，加上武术首度被列为奥运特设项目，相信定必在全世界掀起势不可挡的中国功夫热潮，电影有望打破纪录，勇夺全球动画票房金牌！梦工厂对这部重头戏非常重视，除了出动《怪物史瑞克》、《马达加斯加》班底精心构思故事、设计角色，钻研最先进的电脑特技外，更请来最星光熠熠的声演阵容，包括搞笑巨星杰克·布莱克(JackBlack)声演熊猫阿宝、金像影帝达斯汀·霍夫曼(DustinHoffman)声演施福大师、成龙大哥声演灵猴、性感巨星安吉丽娜·朱丽(AngelinaJolie)声演飞虎女、《霹雳天使》华裔红星刘玉玲(LucyLiu)声演毒蛇，如此强劲卡士绝对前所未见！梦工厂CEO杰弗瑞·卡森伯格(JeffreyKatzenberg...(展开全部),马克·奥斯本 导演,约翰·斯蒂文森 导演,杰克·布莱克 配音,达斯汀·霍夫曼 配音,安吉丽娜·朱莉 配音,伊恩·麦柯肖恩 配音,,
非诚勿扰,喜剧爱情,2008,"https://movie.douban.com/subject/3313801
","海归秦奋（葛优饰）的天才发明“分歧终端机”因能公平和平地解决人类分歧，被风投者以200万英镑高价买走。秦奋也开始踏上网上征婚的路途，一路笑话不断，不是重遇Gay友，就是遇到推销客，秦奋颇有点心灰意冷，以致遇到清冷女子梁笑笑（舒淇饰）时便开门见山请求对方说明来意。这次更为棘手，笑笑爱上有妇之夫，陷于苦恋中不停挣扎，这次纯属听从家里人安排才出来与秦奋见上一面。不再打算再见的二人尽情地分享了生命中最隐秘的秘密。然而不久，打算和旧爱分手的笑笑找到秦奋，说要嫁给他,但想与他先去北海道一趟。因她与旧爱的爱情是在那里开始的，如今想在那里结束。秦奋答应了。二人踏上北海道之旅，秦奋在北海道的老友对他们盛情招待，三人游遍北海道各处，秦奋知道自己得不到笑笑的心，却不知道笑笑心中抑郁难解的结正冲向海底的漩涡……",冯小刚 导演,葛优 饰 秦奋,舒淇 饰 梁笑笑,范伟 饰 范先生,方中信 饰 已婚男人,胡可 饰 炒股达人,,
当幸福来敲门 The Pursuit of Happyness,剧情家庭传记,2006,"https://movie.douban.com/subject/1849031
",克里斯•加纳（威尔·史密斯WillSmith饰）用尽全部积蓄买下了高科技治疗仪，到处向医院推销，可是价格高昂，接受的人不多。就算他多努力都无法提供一个良好的生活环境给妻儿，妻子（桑迪·牛顿ThandieNewton饰）最终选择离开家。从此他带着儿子克里斯托夫（贾登·史密斯JadenSmith饰）相依为命。克里斯好不容易争取回来一个股票投资公司实习的机会，就算没有报酬，成功机会只有百分之五，他仍努力奋斗，儿子是他的力量。他看尽白眼，与儿子躲在地铁站里的公共厕所里，住在教堂的收容所里……他坚信，幸福明天就会来临。,加布里埃莱·穆奇诺 导演,威尔·史密斯 饰 Chris Gardner,贾登·史密斯 饰 Christopher,坦迪·牛顿 饰 Linda,布莱恩·豪威  饰 Jay Twistle,詹姆斯·凯伦 饰 Martin Frohm,,
重庆森林 重慶森林,剧情爱情,1994,"https://movie.douban.com/subject/1291999
",编号为223的警察（金城武）失恋后患上失恋综合症，在与金发女杀手（林青霞）擦肩而过又离奇相遇并有了一晚温情后，原本以为包括“爱情”在内的所有东西都有保质期的他意外地迎来心灵的短暂温暖。可是，他们的爱情还是结束了。快餐店新来的女招待阿菲（王菲）爱上了时常光顾快餐店的编号为663的警察（梁朝伟），因拆了他的女友（周嘉玲）留在快餐店给他的“分手”信，阿菲知晓了他的心情，偷拿到他的钥匙趁他不在时常潜入他家，一边梦游一边悄悄地改变他的生活，终在被他撞见时令其感受到情感的回归。然而，这才是他们爱情的开始。,王家卫 导演,林青霞 演员,金城武 饰 何志武,梁朝伟 饰 警察663,王菲 饰 阿菲,周嘉玲 演员,,
2012,科幻灾难,2009,"https://movie.douban.com/subject/3005875
",太阳活动异常，地球内部的能量平衡系统面临崩溃，玛雅人的预言即将实现，人类将遭遇灭顶之灾。各国政府已经联手开始秘密制造方舟，希望能躲过这一浩劫。以写科幻小说谋生的杰克逊（约翰·库萨克JohnCusack饰）在带孩子们到黄石公园渡周末时发生一连串怪事，而且遇到了神经兮兮的查理（伍迪·哈里森WoodyHarrelson饰)，查理告诉他世界末日即将来临。伴随着火山爆发，强烈地震以及海啸，杰克逊带领自己的家人驾驶一架临时租来的飞机冲出被死神阴霾瞬间笼罩的城市上空，开始寻找查理口中各国政府正在联合秘密制造的方舟。在生死攸关的时刻，一些伟大的鬼魂将脱颖而出，而一些自私的心灵将无所遁形，当千千万万个生灵通过各种方法来到方舟制造基地之时，方舟有限的容纳数量引发前所未有的恐慌。最终，仅存的人们用互爱和对生命的尊重渡过了难关。本片被称为《后天》的升级版，投资...(展开全部),罗兰·艾默里奇 导演,约翰·库萨克 演员,阿曼达·皮特 演员,切瓦特·埃加福 演员,坦迪·牛顿 演员,奥利弗·普莱特 演员,,
东邪西毒 東邪西毒,剧情动作爱情武侠古装,1994,"https://movie.douban.com/subject/1292328
",在恋人（张曼玉）负气嫁给兄长的当晚，欧阳锋（张国荣）黯然离开白陀山，走进沙漠某个小镇，成为一名杀手中介人。他的朋友、风流剑客黄药师（梁家辉）每年都来小镇与他畅饮，酒话里有关白陀山的消息令他忘却往事的念想渐次演变成自欺行为。黄药师只是表面风流。他迷恋好友“盲武士”（梁朝伟）的妻子桃花（刘嘉玲），后者在丈夫死后，永远地离开了他；而对迷恋他的女人慕容嫣（林青霞），他又不愿兑现曾经随口说出的承诺，这使得慕容嫣迷失于自己的身份中。与欧阳锋构成短暂“买凶杀人”关系的洪七（张学友）、村姑（杨采妮）等人，也都有一段只有他们自己才知、不愿回首的痛苦过往。,王家卫 导演,张国荣 饰 欧阳锋,林青霞 演员,梁朝伟 饰 盲武士,张学友 演员,张曼玉 饰 大嫂,,
搏击俱乐部 Fight Club,剧情动作悬疑惊悚,1999,"https://movie.douban.com/subject/1292000
",杰克（爱德华•诺顿饰）是一个大汽车公司的职员，患有严重的失眠症，对周围的一切充满危机和憎恨。一个偶然的机会，杰克遇上了卖肥皂的商人泰勒（布拉德•皮特），一个浑身充满叛逆、残酷和暴烈的痞子英雄，并因为自己公寓失火而住进了泰勒破旧不堪的家中。两人因缘际会地成为了好朋友，并创立了“搏击俱乐部”：一个让人们不戴护具而徒手搏击，宗旨在于发泄情绪的地下组织。俱乐部吸引了越来越多的人，逐渐发展成为一个全国性的地下组织，而泰勒也以自己个人的魅力，吸引着那些盲目的信徒。俱乐部的成员们到处滋事打架、大肆破坏，泰勒本人的行为也越来越疯狂。杰克对于“搏击俱乐部”的现况及泰勒的行为越来越无法忍受，和泰勒发生争执，泰勒离开了他。然而，杰克发现，他走到何处都无法摆脱泰勒的影子，他开始思考：我到底是谁？,大卫·芬奇 导演,爱德华·诺顿 饰 The Narrator,布拉德·皮特 饰 Tyler Durden,海伦娜·伯翰·卡特 饰 Marla Singer,扎克·格雷尼尔 饰 Richard Chesler,米特·洛夫 饰 Robert 'Bob' Paulsen,,
阳光灿烂的日子,剧情爱情,1994,"https://movie.douban.com/subject/1291875
",20世纪70年代初的北京，忙着“闹革命”大人无空理会小孩，加上学校停课无事可做，以军队大院男孩为突出代表的少年人便自找乐子，靠起哄、打架、闹事、拍婆子等方式挥霍过量的荷尔蒙。马小军（夏雨饰）就是这样的少年，他的嗜好之一是趁别人家无人用万能钥匙将其锁打开，溜进去耍玩一番，正是用这样的方式，少女米兰（宁静饰）的照片先于其人入了马小军的双眼。通过院里的“头儿”刘忆苦（耿乐饰），马小军又见到之前在炮局偶然瞥见过一眼的米兰，开始正式将其当作梦中情人，然而在米兰眼中，马小军不过是毛孩一个，她中意的人是成熟、稳重、帅气的刘忆苦。自此，马小军迎来五味混杂的青春期生活。本片改编自王朔短篇小说《动物凶猛》。夏雨凭此片获得第51届威尼斯国际电影节最佳男演员（银狮奖）。,姜文 导演,夏雨 饰 马小军,宁静 饰 米兰,陶虹 饰 于北蓓,耿乐 饰 刘忆苦,斯琴高娃 饰 小军妈,,
色，戒,剧情爱情情色,2007,"https://movie.douban.com/subject/1828115
",本是岭南大学学生的王佳芝（汤唯饰）因战争辗转到了香港读书，她在香港大学加入了爱国青年邝裕民（王力宏饰）组织的话剧组，他们主演的爱国话剧更激起了他们的爱国情操。当邝裕民得知汪伪政府的特务头子易先生（梁朝伟饰）正在香港的时候，他们便密谋要刺杀易先生。化名“麦太太”的王佳芝很快得到了易太太（陈冲饰）的信任与喜爱，同时美丽的“麦太太”也吸引了易先生的眼球，正当事情进行得如火如荼之际，易先生突然要回到上海去。此后王佳芝一直生活在上海，没想到重遇了邝裕民。当得知刺杀行动还没结束时，王佳芝再次成为了特务，再次以“麦太太”的身份出现在易先生的面前。重逢后的二人关系进一步发展，此时的易先生因爱上了王佳芝而对她毫无忌讳，王佳芝的内心也变得起伏不定。刺杀行动进行正顺利，但当易先生送给王佳芝璀璨钻戒表达爱意时，王佳芝做出了惊人的决定……,李安 导演,梁朝伟 饰 易先生（易默成）,汤唯 饰 王佳芝 / 麦太太,陈冲 饰 易太太,王力宏 饰 邝裕民,庹宗华 饰 老吴,,
无间道 無間道,剧情惊悚犯罪,2002,"https://movie.douban.com/subject/1307914
",1991年，香港黑帮三合会会员刘健明（刘德华）听从老大韩琛（曾志伟）的吩咐，加入警察部队成为黑帮卧底，韩琛许诺刘健明会帮其在七年后晋升为见习督察。1992年，警察训练学校优秀学员陈永仁（梁朝伟）被上级要求深入到三合会做卧底，终极目标是成为韩琛身边的红人。2002年，两人都不负重望，也都身背重压，刘健明渐想成为一个真正的好人，陈永仁则盼着尽快回归警察身份。重案组从陈永仁手中获悉一批毒品交易情报，锁紧目标人物韩琛，没料情报被刘健明泄出，双方行动均告失败。但此事将双方均有卧底的事实暴露，引发双方高层清除内鬼的决心。命运迥异又相似的刘健明和陈永仁开始在无间道的旅程中接受严峻考验。,刘伟强 导演,麦兆辉 导演,刘德华 饰 刘建明,梁朝伟 饰 陈永仁,黄秋生 饰 黄志诚,曾志伟 饰 韩琛,,
